UserAgent,Parent,Browser,Version,MajorVersion,MinorVersion,Platform,AuthenticodeUpdate,CSSVersion,Frames,IFrames,Tables,Cookies,BackgroundSounds,VBScript,JavaScript,JavaApplets,ActiveXControls,CDF,AOL,Beta,Win16,Crawler,Stripper,WAP,NetCLR
[GJK_Browscap_Version],GJK_Browscap_Version,2003-06-29 15:45:10 GMT
[Alta Vista],Alta Vista,Alta Vista ,,,,,,default,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
[AltaVista Canada],Alta Vista,AltaVista Canada,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[AltaVista Intranet V1.0 bluewindow.ch webmaster@bluewin.ch],Alta Vista,AltraVista International,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[mercator*],Alta Vista,AltaVista,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Scooter*],Alta Vista,AltaVista,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[FAST-WebCrawler],FAST-WebCrawler,FAST-WebCrawler,,,,,,0,true,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false
[FAST-WebCrawler/3.2 test],FAST-WebCrawler,FAST-WebCrawler,3.2,3,2,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[FAST-WebCrawler/3.6 (atw-crawler at fast dot no; http://fast.no/support/crawler.asp)],FAST-WebCrawler,,3.6,3,6,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[FAST-WebCrawler/3.6/FirstPage (atw-crawler at fast dot no;http://fast.no/support/crawler.asp)],FAST-WebCrawler,,3.6,3,6,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[FAST-WebCrawler/3.7 (atw-crawler at fast dot no; http://fast.no/support/crawler.asp)],FAST-WebCrawler,,3.7,3,7,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[FAST-WebCrawler/3.7/FirstPage (atw-crawler at fast dot no;http://fast.no/support/crawler.asp)],FAST-WebCrawler,,3.7,3,7,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[FAST-WebCrawler/3.x Multimedia],FAST-WebCrawler,,3.0,3,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[FAST-WebCrawler/3.x Multimedia (mm dash crawler at fast dot no)],FAST-WebCrawler,,3.0,3,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Google],Google,Google,,,,,,0,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false
[BackRub/*],Google,Backrub/Google,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Googlebot],Google,Googlebot,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Googlebot-Image],Google,Googlebot-Image,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Googlebot/2.1 ( http://www.googlebot.com/bot.html)],Google,Googlebot,2.1,2,1,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mediapartners-Google/2.1 ( http://www.googlebot.com/bot.html)],Google,Mediapartners-Google,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Inktomi],Inktomi,Inktomi,,,,,,default,true,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false
[Mozilla/5.0 (Slurp/*)],Inktomi,Inktomi,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Slurp*],Inktomi,Inktomi's Web Robot,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Nutch],Nutch,Nutch,,,,,,default,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
[http://www.nutch.org/],Nutch,Nutch,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[NutchOrg/* (Nutch; http://www.nutch.org/docs/bot.html; nutch-agent@lists.sourceforge.net)],Nutch,NutchOrg,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Search Engines],Search Engines,Search Engines,,,,,,default,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false
[AbachoBOT*],Search Engines,Abacho.com,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Atomz*],Search Engines,Atomz Search,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Baiduspider*],Search Engines,BaiDu Chinese Search Engine,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Crawler admin@crawler.de],Search Engines,Crawler,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[dloader(NaverRobot)/*],Search Engines,Naver,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[EchO!/2.0],Search Engines,EchO,2,2,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Eule Robot*],Search Engines,Eule-Robot,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Eule-Robot*],Search Engines,Eule-Robot,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[FirstGov.gov Search - POC:firstgov.webmasters@gsa.gov],Search Engines,FirstGov.gov Search,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[GenCrawler*],Search Engines,GenCrawler,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Gigabot/*],Search Engines,Gigablast,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Gulliver*],Search Engines,Gulliver,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Infosniff Sniffer],Search Engines,Infosniff Sniffer,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[LNSpiderGuy*],Search Engines,Lexis-Nexis,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Lycos*],Search Engines,Lycos,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/2.0 (compatible; Ask Jeeves/Teoma)],Search Engines,Ask Jeeves/Teoma,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/3.0 (compatible)],Search Engines,Unknown/Various,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/3.0 (compatible; NetMind-Minder*],Search Engines,NetMind-Minder,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/3.01 (compatible;)],Search Engines,Unknown/Various,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 (compatible; * sureseeker.com)],Search Engines,SureSeeker,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 (compatible; *Wanadoo 5.3)],Search Engines,Wanadoo,5.3,5,3,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 (compatible; MSIE 5.0; www.galaxy.com; *;  http://www.galaxy.com/info/crawler.html)],Search Engines,Galaxy/LOGIKA Search Engine,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 (compatible; MSIE 5.5; Windows 95; Searchalot.com)],Search Engines,SearchALot,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 (compatible; MSIE 5.5; Windows 98; searchengine2000.com*],Search Engines,Search Engine 2000,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 (compatible; MSIE 6.0; Windows 98; Win9x 4.90; SEARCHALOT IE6)],Search Engines,Searchalot,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 compatible ZyBorg/*],Search Engines,WiseNutBot,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.7 (compatible; WhizBang; http://www.whizbang.com/crawler)],Search Engines,WhizBang,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 usww.com-Spider-for-w8.net],Search Engines,W8.Net,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[MSNBOT/0.1 (http://search.msn.com/msnbot.htm)],Search Engines,MSN Search Prototype Web Crawler,0.1,0,1,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[NationalDirectory-SuperSpider/*],Search Engines,National Directory,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[NationalDirectory-WebSpider/*],Search Engines,National Directory,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[NZBot/1.0 (www.navigationzone.com/; enquiries@navigationzone.com)],Search Engines,Navigation Zone,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Openfind data gatherer, Openbot/3.0*],Search Engines,Openbot,3.0,3,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[PicoSearch/1.0],Search Engines,PicoSearch,1.0,1,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Pompos],Search Engines,Pompos,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[search.ch*],Search Engines,Swiss Search Engine,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[SiteSnagger],Search Engines,SiteSnagger,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[SlySearch*],Search Engines,SlySearch,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Speedy_Spider_(http://www.entireweb.com)],Search Engines,EntireWeb.com,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Spinne/*],Search Engines,Spinne,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[sspider.batsch.com],Search Engines,Batsch,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Submission Spider at surfsafely.com],Search Engines,SurfSafely.com,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[SwissSearch*],Search Engines,SwissSearch,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Szukacz/1.5 (robot; www.szukacz.pl/jakdzialarobot.html; info@szukacz.pl)],Search Engines,Szukacz,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[URL Spider Pro/1.92 (innerprise.net)],Search Engines,URL Spider Pro,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[WebFindBot(http://www.web-find.com)],Search Engines,WebFindBot,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Yandex],Yandex,Yandex,,,,,,default,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false
[Yandex/1.01.001 (compatible; Win16; I)],Yandex,,1.01.001,1,01.001,Win16,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Yandex/1.03.000 (compatible; Win16; M)],Yandex,,1.03.000,1,03.000,Win16,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Browscap.ini Version Checkers],Browscap.ini Version Checkers,Various,,,,,,default,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
[Automated Browscap.ini Updater. Gary contact me at serge@skycomp.ca with problems.],Browscap.ini Version Checkers,Automated Browscap.ini Updater,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Browser Capabilities Project AutoDownloader; created by Tom Kelleher Consulting, Inc. (tkelleher.com); used with special permission from Gary Joel Keith; uses Microsoft's WinHTTP component],Browscap.ini Version Checkers,TKC AutoDownloader,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[General Crawlers],General Crawlers,General Crawlers,0.0,0,0,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
[(HTML Validator http://www.searchengineworld.com/validator/)],General Crawlers,Search Engine World HTML Validator,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[BMC Link Validator (http://www.briansmodelcars.com/links/)],General Crawlers,BMC Link Validator,1.0,1,0,Win2000,,2,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[CFM-SearchBot(http://www.cfm-search.com)],General Crawlers,CFM-SearchBot,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[HTTP-Test-Program],General Crawlers,WebBug,5,5,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[http://www.almaden.ibm.com/cs/crawler*],General Crawlers,IBM Research Division,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Jigsaw/2.2.0 W3C_CSS_Validator_JFouffa/2.0],General Crawlers,Jigsaw,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Keyword Density/*],General Crawlers,Keyword Density,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[LinkSweeper/1.0],General Crawlers,LinkSweeper,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Marvin v0.3],General Crawlers,MedHunt,0.3,0,3,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/2.0 (TuringOS; Turing Machine; 0.0)],General Crawlers,Anonymizer,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/3.0 (compatible; AvantGo*)],General Crawlers,AvantGo,,,,Palm,,default,default,default,default,true,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.78 (TuringOS; Turing Machine; 0.0)],General Crawlers,Anonymizer,0.0,0,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Sam Spade 1.14],General Crawlers,Sam Spade,1.14,1,14,Win32,,default,default,default,default,default,default,default,default,default,default,default,default,true,default,default,default,default,default
[Search Engine World Robots.txt Validator*],General Crawlers,Search Engine World Robots.txt Validator,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[semanticdiscovery/*],General Crawlers,Semantic Discovery,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[sitecheck.internetseer.com*],General Crawlers,Internetseer,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[W3C_Validator/*],General Crawlers,W3C Validator,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[WebFilter Robot 1.0],General Crawlers,WebFilter Robot,1.0,1,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[WebmasterWorldForumBot],General Crawlers,WebmasterWorldForumBot,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[WebTrends/*],General Crawlers,WebTrends,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Willow Internet Crawler by Twotrees V2.1],General Crawlers,Willow Internet Crawler,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Link Checkers],Link Checkers,Link Checkers,,,,,,0,true,false,true,true,false,false,true,false,false,false,false,false,false,true,false,false,false
[Checkbot*],Link Checkers,Checkbot,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[FavOrg],Link Checkers,FavOrg,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[JCheckLinks/?.? RPT-HTTPClient/*],Link Checkers,JCheckLinks,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Linkbot*],Link Checkers,Linkbot,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[LinksManager.com*],Link Checkers,LinksManager,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[LinkSweeper*],Link Checkers,Linksweeper,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[LinkWalker*],Link Checkers,LinkWalker,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[MetaGer-LinkChecker],Link Checkers,MetaGer-LinkChecker,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/3.0 (compatible; Powermarks/3.0*],Link Checkers,Powermarks,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[URLCHECK],Link Checkers,URLCHECK,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[URLMenu98],Link Checkers,URLMenu98,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[W3CLineMode*],Link Checkers,W3C Line Mode,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[WebTrends Link Analyzer],Link Checkers,WebTrends Link Analyzer,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Media Players],Media Players,Media Players,,,,,,0,true,false,true,true,true,false,true,false,true,false,false,false,false,false,false,false,false
[Microsoft NetShow(TM) Player with RealVideo(R)],Media Players,Microsoft NetShow,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[NSPlayer/4.*],Media Players,Windows Media Player,4.0,4,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[NSPlayer/7.*],Media Players,Windows Media Player,7.0,7,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[NSPlayer/8.*],Media Players,Windows Media Player,8.0,8,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[NSPlayer/9.*],Media Players,Windows Media Player,9.0,9,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Windows-Media-Player/7.*],Media Players,Windows Media Player,7.0,7,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Windows-Media-Player/8.*],Media Players,Windows Media Player,8.0,8,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Windows-Media-Player/9.*],Media Players,,9.0,9,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[QuickTime],QuickTime,QuickTime,,,,,,default,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
[QuickTime (qtver=5.0*;os=Windows 98*)],QuickTime,,5.0,5,0,Win98,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[QuickTime (qtver=5.0*;os=Windows Me*)],QuickTime,,5.0,5,0,WinME,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[QuickTime (qtver=5.0*;os=Windows NT 5.0*)],QuickTime,,5.0,5,0,Win2000,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[QuickTime (qtver=5.0*;os=Windows NT 5.1*)],QuickTime,,5.0,5,0,WinXP,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[QuickTime (qtver=6.0*;cpu=PPC;os=Mac 10.*)],QuickTime,,6.0,6,0,MacOSX,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[QuickTime (qtver=6.0*;cpu=PPC;os=Mac 9.*)],QuickTime,,6.0,6,0,MacPPC,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[QuickTime (qtver=6.0*;os=Windows 98*)],QuickTime,,6.0,6,0,Win98,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[QuickTime (qtver=6.0*;os=Windows NT 4.0*)],QuickTime,,6.0,6,0,WinNT,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[QuickTime (qtver=6.0*;os=Windows NT 5.0*)],QuickTime,,6.0,6,0,Win2000,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[QuickTime (qtver=6.0*;os=Windows NT 5.1*)],QuickTime,,6.0,6,0,WinXP,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[QuickTime (qtver=6.1*;cpu=PPC;os=Mac 10.*)],QuickTime,,6.1,6,1,MacOSX,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[QuickTime (qtver=6.2*;cpu=PPC;os=Mac 10.*)],QuickTime,,6.2,6,2,MacOSX,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[QuickTime (qtver=6.5*;cpu=PPC;os=Mac 10.*)],QuickTime,,6.5,6,5,MacOSX,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Text Browsers],Text Browsers,,,,,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
[Elinks (0.3; OS/2*)],Text Browsers,ELinks,,,,OS/2,,default,true,true,true,true,default,default,true,default,default,default,default,default,default,default,default,default,default
[Elinks (0.3; Unix*)],Text Browsers,ELinks,0.3,0,3,Unix,,default,true,true,true,true,default,default,true,default,default,default,default,default,default,default,default,default,default
[ELinks (0.4*; Linux*)],Text Browsers,ELinks,0.4,0,4,Linux,,default,true,true,true,true,default,default,default,default,default,default,default,default,default,default,default,default,default
[ELinks (0.4*; Unix*)],Text Browsers,,0.4,0,4,Unix,,default,true,true,true,true,default,default,default,default,default,default,default,default,default,default,default,default,default
[Links (0.9*; Linux*)],Text Browsers,Links,0.9,0,9,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Links (0.9*; OS/2*)],Text Browsers,Links,0.9,0,9,OS/2,,default,default,default,true,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Links (0.9*; Unix*)],Text Browsers,Links,0.9,0,9,Unix,,default,default,default,true,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Links (2.0*; Linux*; *)],Text Browsers,Links,2.0,2,0,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Links (2.1*; Linux *)],Text Browsers,Links,,2.1,2,Linux,1,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Lynx 2.5*],Text Browsers,Lynx,2.5,2,5,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Lynx/2-4*],Text Browsers,Lynx,2.4,2,4,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Lynx/2.3*],Text Browsers,Lynx,2.3,2,3,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Lynx/2.6*],Text Browsers,Lynx,2.6,2,6,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Lynx/2.7*],Text Browsers,Lynx,2.7,2,7,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Lynx/2.8*],Text Browsers,Lynx,2.8,2,8,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[WAP Devices],WAP Devices,WAP Devices,,,,WAP,,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false
[* (Google WAP Proxy/1.0)],WAP Devices,Google WAP Proxy,1.0,1,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[4thpass.com KBrowser 1.0],WAP Devices,KBrowser,1.0,1,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[ALAV UP/4.0.7],WAP Devices,ALAV,4.0.7,4,0.7,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Alcatel-BE3/1.0 UP*],WAP Devices,Alcatel,1.0,1,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[AUR PALM WAPPER*],WAP Devices,Palm Wapper,,,,Palm,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[ccWAP-Browser],WAP Devices,ccWAP-Browser,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Conduits-PalmBrowser/1.5],WAP Devices,Conduits,1.5,1,5,Palm,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Ericsson*],WAP Devices,Ericsson,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[EzWAPBrowser*],WAP Devices,EzWAPBrowser,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[fetchpage.cgi/0.53],WAP Devices,Fetchpage,0.53,0,53,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[iBrowser/1.1],WAP Devices,iBrowser,1.1,1,1,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[iSiloX/3.* MacOS],WAP Devices,,,,,MacOSX,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[iSiloX/3.* Windows/32],WAP Devices,iSiloX,,,,Win32,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Klondike/1.*],WAP Devices,Klondike,1,1,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Materna-WAPPreview/1.1.3],WAP Devices,Materna,1.1.3,1,1.3,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mitsu/1.1.A*],WAP Devices,Mitsu,1.1.A,1,1.A,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[MOT-??/*],WAP Devices,Motorola,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[MOT-CB],WAP Devices,Motorola,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Motorola VoxGateway/2.0],WAP Devices,Motorola VoxGateway,2.0,2,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/2.0 (compatible; Elaine/1.0)],WAP Devices,Elaine,1,1,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 (MobilePhone SCP-4900/1.0) NetFront/3.0 MMP/2.0],WAP Devices,,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.5 (compatible; iPanel1.5; Embedded; netcomm_ia100_ls800_20011005b)],WAP Devices,iPanel,1.5,1,5,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Nokia-WAP-Toolkit/*],WAP Devices,Nokia WAP Toolkit,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Nokia6210/1.0(03.74)],WAP Devices,Nokia 6210,1.0,1,0,,,default,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,default,default
[Nokia7110 (DeckIt/1.0)],WAP Devices,Nokia,1.0,1,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Nokia7110/1.0*],WAP Devices,Nokia,1.0,1,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Nokia9110/1.0*],WAP Devices,Nokia,1.0,1,0,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Panasonic WAP],WAP Devices,Panasonic,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
